n:60 mse_avg:7.77 mse_y:10.39 mse_u:3.16 mse_v:1.90 psnr_avg:39.23 psnr_y:37.97 psnr_u:43.14 psnr_v:45.34 
n:61 mse_avg:3.63 mse_y:4.60 mse_u:2.16 mse_v:1.24 psnr_avg:42.53 psnr_y:41.51 psnr_u:44.78 psnr_v:47.19 
n:62 mse_avg:7.03 mse_y:9.59 mse_u:2.48 mse_v:1.34 psnr_avg:39.66 psnr_y:38.31 psnr_u:44.18 psnr_v:46.85 
n:63 mse_avg:7.66 mse_y:10.44 mse_u:2.64 mse_v:1.55 psnr_avg:39.29 psnr_y:37.94 psnr_u:43.91 psnr_v:46.23 
n:64 mse_avg:6.92 mse_y:9.30 mse_u:2.68 mse_v:1.61 psnr_avg:39.73 psnr_y:38.44 psnr_u:43.84 psnr_v:46.06 
n:65 mse_avg:7.14 mse_y:9.60 mse_u:2.81 mse_v:1.67 psnr_avg:39.59 psnr_y:38.31 psnr_u:43.65 psnr_v:45.89 
n:66 mse_avg:7.73 mse_y:10.38 mse_u:2.95 mse_v:1.90 psnr_avg:39.25 psnr_y:37.97 psnr_u:43.43 psnr_v:45.35 
n:67 mse_avg:8.06 mse_y:10.78 mse_u:3.19 mse_v:2.09 psnr_avg:39.06 psnr_y:37.81 psnr_u:43.10 psnr_v:44.93 
n:68 mse_avg:9.06 mse_y:12.16 mse_u:3.46 mse_v:2.24 psnr_avg:38.56 psnr_y:37.28 psnr_u:42.74 psnr_v:44.62 
n:69 mse_avg:9.30 mse_y:12.46 mse_u:3.55 mse_v:2.39 psnr_avg:38.45 psnr_y:37.18 psnr_u:42.63 psnr_v:44.34 
n:70 mse_avg:9.42 mse_y:12.63 mse_u:3.65 mse_v:2.35 psnr_avg:38.39 psnr_y:37.12 psnr_u:42.51 psnr_v:44.43 
n:71 mse_avg:3.32 mse_y:4.18 mse_u:1.96 mse_v:1.19 psnr_avg:42.93 psnr_y:41.91 psnr_u:45.21 psnr_v:47.36 
n:72 mse_avg:5.97 mse_y:8.01 mse_u:2.31 mse_v:1.46 psnr_avg:40.37 psnr_y:39.09 psnr_u:44.49 psnr_v:46.49 
n:73 mse_avg:6.25 mse_y:8.31 mse_u:2.53 mse_v:1.69 psnr_avg:40.18 psnr_y:38.93 psnr_u:44.10 psnr_v:45.85 
n:74 mse_avg:7.65 mse_y:10.32 mse_u:2.73 mse_v:1.90 psnr_avg:39.30 psnr_y:38.00 psnr_u:43.77 psnr_v:45.35 
n:75 mse_avg:7.20 mse_y:9.61 mse_u:2.82 mse_v:1.97 psnr_avg:39.56 psnr_y:38.30 psnr_u:43.63 psnr_v:45.19 
n:76 mse_avg:7.30 mse_y:9.68 mse_u:3.07 mse_v:2.01 psnr_avg:39.50 psnr_y:38.27 psnr_u:43.26 psnr_v:45.10 
n:77 mse_avg:7.25 mse_y:9.60 mse_u:3.05 mse_v:2.02 psnr_avg:39.53 psnr_y:38.31 psnr_u:43.28 psnr_v:45.09 
n:78 mse_avg:7.37 mse_y:9.80 mse_u:2.93 mse_v:2.04 psnr_avg:39.46 psnr_y:38.22 psnr_u:43.45 psnr_v:45.03 
n:79 mse_avg:7.57 mse_y:10.18 mse_u:2.74 mse_v:1.95 psnr_avg:39.34 psnr_y:38.05 psnr_u:43.75 psnr_v:45.23 
n:80 mse_avg:8.01 mse_y:10.75 mse_u:2.94 mse_v:2.14 psnr_avg:39.09 psnr_y:37.82 psnr_u:43.44 psnr_v:44.82 
n:81 mse_avg:4.30 mse_y:5.49 mse_u:2.41 mse_v:1.42 psnr_avg:41.79 psnr_y:40.73 psnr_u:44.30 psnr_v:46.60 
n:82 mse_avg:6.47 mse_y:8.53 mse_u:2.87 mse_v:1.84 psnr_avg:40.02 psnr_y:38.82 psnr_u:43.56 psnr_v:45.47 
n:83 mse_avg:6.87 mse_y:9.10 mse_u:2.94 mse_v:1.88 psnr_avg:39.76 psnr_y:38.54 psnr_u:43.45 psnr_v:45.39 
n:84 mse_avg:7.51 mse_y:10.01 mse_u:3.11 mse_v:1.95 psnr_avg:39.37 psnr_y:38.13 psnr_u:43.20 psnr_v:45.24 
n:85 mse_avg:8.16 mse_y:10.85 mse_u:3.40 mse_v:2.15 psnr_avg:39.02 psnr_y:37.78 psnr_u:42.82 psnr_v:44.80 
n:86 mse_avg:8.46 mse_y:11.22 mse_u:3.57 mse_v:2.29 psnr_avg:38.86 psnr_y:37.63 psnr_u:42.60 psnr_v:44.53 
n:87 mse_avg:9.06 mse_y:12.01 mse_u:3.74 mse_v:2.55 psnr_avg:38.56 psnr_y:37.33 psnr_u:42.40 psnr_v:44.07 
n:88 mse_avg:9.42 mse_y:12.53 mse_u:3.82 mse_v:2.59 psnr_avg:38.39 psnr_y:37.15 psnr_u:42.31 psnr_v:44.00 
n:89 mse_avg:9.36 mse_y:12.48 mse_u:3.71 mse_v:2.52 psnr_avg:38.42 psnr_y:37.17 psnr_u:42.43 psnr_v:44.11 
n:90 mse_avg:9.03 mse_y:11.96 mse_u:3.77 mse_v:2.55 psnr_avg:38.57 psnr_y:37.35 psnr_u:42.36 psnr_v:44.06 
n:91 mse_avg:4.21 mse_y:5.35 mse_u:2.39 mse_v:1.45 psnr_avg:41.89 psnr_y:40.85 psnr_u:44.34 psnr_v:46.51 
n:92 mse_avg:8.46 mse_y:11.37 mse_u:3.12 mse_v:2.18 psnr_avg:38.86 psnr_y:37.58 psnr_u:43.19 psnr_v:44.74 
n:93 mse_avg:9.85 mse_y:13.27 mse_u:3.49 mse_v:2.54 psnr_avg:38.20 psnr_y:36.90 psnr_u:42.71 psnr_v:44.08 
n:94 mse_avg:10.50 mse_y:14.01 mse_u:3.92 mse_v:3.07 psnr_avg:37.92 psnr_y:36.67 psnr_u:42.20 psnr_v:43.26 
n:95 mse_avg:11.52 mse_y:15.46 mse_u:4.04 mse_v:3.25 psnr_avg:37.51 psnr_y:36.24 psnr_u:42.07 psnr_v:43.01 
n:96 mse_avg:12.98 mse_y:17.58 mse_u:4.14 mse_v:3.43 psnr_avg:37.00 psnr_y:35.68 psnr_u:41.96 psnr_v:42.77 
n:97 mse_avg:12.77 mse_y:17.31 mse_u:4.11 mse_v:3.28 psnr_avg:37.07 psnr_y:35.75 psnr_u:42.00 psnr_v:42.98 
n:98 mse_avg:12.77 mse_y:17.34 mse_u:4.15 mse_v:3.10 psnr_avg:37.07 psnr_y:35.74 psnr_u:41.95 psnr_v:43.21 
n:99 mse_avg:11.47 mse_y:15.46 mse_u:4.08 mse_v:2.90 psnr_avg:37.54 psnr_y:36.24 psnr_u:42.02 psnr_v:43.50 
n:100 mse_avg:11.18 mse_y:15.05 mse_u:4.03 mse_v:2.84 psnr_avg:37.65 psnr_y:36.36 psnr_u:42.07 psnr_v:43.59 
n:101 mse_avg:3.43 mse_y:4.32 mse_u:2.04 mse_v:1.24 psnr_avg:42.78 psnr_y:41.77 psnr_u:45.04 psnr_v:47.20 
n:102 mse_avg:6.39 mse_y:8.66 mse_u:2.26 mse_v:1.43 psnr_avg:40.08 psnr_y:38.76 psnr_u:44.60 psnr_v:46.58 
n:103 mse_avg:5.57 mse_y:7.40 mse_u:2.40 mse_v:1.39 psnr_avg:40.68 psnr_y:39.44 psnr_u:44.33 psnr_v:46.69 
n:104 mse_avg:5.92 mse_y:7.90 mse_u:2.42 mse_v:1.47 psnr_avg:40.41 psnr_y:39.15 psnr_u:44.29 psnr_v:46.45 
n:105 mse_avg:5.73 mse_y:7.61 mse_u:2.48 mse_v:1.51 psnr_avg:40.55 psnr_y:39.32 psnr_u:44.19 psnr_v:46.35 
n:106 mse_avg:5.94 mse_y:7.89 mse_u:2.55 mse_v:1.52 psnr_avg:40.39 psnr_y:39.16 psnr_u:44.06 psnr_v:46.31 
n:107 mse_avg:6.07 mse_y:8.09 mse_u:2.54 mse_v:1.54 psnr_avg:40.30 psnr_y:39.05 psnr_u:44.08 psnr_v:46.27 
n:108 mse_avg:5.90 mse_y:7.84 mse_u:2.56 mse_v:1.50 psnr_avg:40.42 psnr_y:39.19 psnr_u:44.05 psnr_v:46.36 
