Jan 19, 2022 16:02:33.427566000 -05
Jan 19, 2022 16:02:33.758543000 -05
Jan 19, 2022 16:02:33.791507000 -05
Jan 19, 2022 16:02:33.796154000 -05
Jan 19, 2022 16:02:33.951517000 -05
Jan 19, 2022 16:02:34.672889000 -05
Jan 19, 2022 16:02:34.823583000 -05
Jan 19, 2022 16:02:35.262121000 -05
Jan 19, 2022 16:02:35.411051000 -05
Jan 19, 2022 16:02:35.461804000 -05
Jan 19, 2022 16:02:35.528517000 -05
Jan 19, 2022 16:02:35.828298000 -05
Jan 19, 2022 16:02:35.989433000 -05
Jan 19, 2022 16:02:36.109620000 -05
Jan 19, 2022 16:02:36.261564000 -05
Jan 19, 2022 16:02:36.364302000 -05
Jan 19, 2022 16:02:36.739789000 -05
Jan 19, 2022 16:02:37.322662000 -05
Jan 19, 2022 16:02:37.466835000 -05
Jan 19, 2022 16:02:37.730605000 -05
Jan 19, 2022 16:02:37.947506000 -05
Jan 19, 2022 16:02:38.266498000 -05
Jan 19, 2022 16:02:38.363316000 -05
Jan 19, 2022 16:02:38.535063000 -05
Jan 19, 2022 16:02:38.645942000 -05
Jan 19, 2022 16:02:38.770095000 -05
Jan 19, 2022 16:02:38.839970000 -05
Jan 19, 2022 16:02:38.991055000 -05
Jan 19, 2022 16:02:39.323166000 -05
Jan 19, 2022 16:02:39.628562000 -05
Jan 19, 2022 16:02:39.730585000 -05
Jan 19, 2022 16:02:39.736265000 -05
Jan 19, 2022 16:02:39.819971000 -05
Jan 19, 2022 16:02:40.219158000 -05
Jan 19, 2022 16:02:41.107449000 -05
Jan 19, 2022 16:02:41.255942000 -05
Jan 19, 2022 16:02:41.291393000 -05
Jan 19, 2022 16:02:41.335314000 -05
Jan 19, 2022 16:02:41.458087000 -05
Jan 19, 2022 16:02:41.864472000 -05
Jan 19, 2022 16:02:42.160029000 -05
Jan 19, 2022 16:02:42.287107000 -05
Jan 19, 2022 16:02:42.416934000 -05
Jan 19, 2022 16:02:42.669789000 -05
Jan 19, 2022 16:02:43.085004000 -05
Jan 19, 2022 16:02:43.295260000 -05
Jan 19, 2022 16:02:43.340831000 -05
Jan 19, 2022 16:02:43.441597000 -05
Jan 19, 2022 16:02:43.669002000 -05
