n:109 mse_avg:3.41 mse_y:4.48 mse_u:1.43 mse_v:1.10 psnr_avg:42.80 psnr_y:41.62 psnr_u:46.57 psnr_v:47.70 
n:110 mse_avg:3.56 mse_y:4.72 mse_u:1.40 mse_v:1.10 psnr_avg:42.61 psnr_y:41.39 psnr_u:46.66 psnr_v:47.73 
n:111 mse_avg:3.85 mse_y:5.10 mse_u:1.53 mse_v:1.18 psnr_avg:42.28 psnr_y:41.06 psnr_u:46.30 psnr_v:47.41 
n:112 mse_avg:3.93 mse_y:5.25 mse_u:1.43 mse_v:1.13 psnr_avg:42.19 psnr_y:40.93 psnr_u:46.58 psnr_v:47.59 
n:113 mse_avg:1.30 mse_y:1.55 mse_u:0.86 mse_v:0.73 psnr_avg:46.99 psnr_y:46.23 psnr_u:48.76 psnr_v:49.48 
n:114 mse_avg:2.62 mse_y:3.32 mse_u:1.42 mse_v:1.05 psnr_avg:43.94 psnr_y:42.92 psnr_u:46.60 psnr_v:47.94 
n:115 mse_avg:2.66 mse_y:3.43 mse_u:1.28 mse_v:0.95 psnr_avg:43.89 psnr_y:42.78 psnr_u:47.05 psnr_v:48.37 
n:116 mse_avg:2.95 mse_y:3.79 mse_u:1.45 mse_v:1.08 psnr_avg:43.43 psnr_y:42.34 psnr_u:46.51 psnr_v:47.81 
n:117 mse_avg:3.18 mse_y:4.15 mse_u:1.38 mse_v:1.07 psnr_avg:43.11 psnr_y:41.95 psnr_u:46.73 psnr_v:47.84 
n:118 mse_avg:3.46 mse_y:4.53 mse_u:1.52 mse_v:1.14 psnr_avg:42.74 psnr_y:41.57 psnr_u:46.32 psnr_v:47.56 
n:119 mse_avg:3.77 mse_y:5.02 mse_u:1.40 mse_v:1.11 psnr_avg:42.37 psnr_y:41.12 psnr_u:46.66 psnr_v:47.69 
n:120 mse_avg:3.95 mse_y:5.23 mse_u:1.53 mse_v:1.22 psnr_avg:42.17 psnr_y:40.94 psnr_u:46.28 psnr_v:47.28 
n:121 mse_avg:0.93 mse_y:1.10 mse_u:0.64 mse_v:0.56 psnr_avg:48.44 psnr_y:47.72 psnr_u:50.10 psnr_v:50.63 
n:122 mse_avg:2.35 mse_y:2.95 mse_u:1.27 mse_v:1.00 psnr_avg:44.43 psnr_y:43.43 psnr_u:47.11 psnr_v:48.13 
n:123 mse_avg:2.57 mse_y:3.32 mse_u:1.22 mse_v:0.93 psnr_avg:44.03 psnr_y:42.92 psnr_u:47.28 psnr_v:48.45 
n:124 mse_avg:2.95 mse_y:3.81 mse_u:1.36 mse_v:1.06 psnr_avg:43.44 psnr_y:42.32 psnr_u:46.79 psnr_v:47.88 
n:125 mse_avg:3.07 mse_y:4.03 mse_u:1.30 mse_v:1.01 psnr_avg:43.26 psnr_y:42.08 psnr_u:46.98 psnr_v:48.10 
n:126 mse_avg:3.19 mse_y:4.17 mse_u:1.40 mse_v:1.07 psnr_avg:43.09 psnr_y:41.93 psnr_u:46.67 psnr_v:47.85 
n:127 mse_avg:3.10 mse_y:4.08 mse_u:1.28 mse_v:1.01 psnr_avg:43.21 psnr_y:42.02 psnr_u:47.05 psnr_v:48.09 
n:128 mse_avg:3.32 mse_y:4.35 mse_u:1.43 mse_v:1.13 psnr_avg:42.91 psnr_y:41.75 psnr_u:46.56 psnr_v:47.60 
n:129 mse_avg:3.42 mse_y:4.53 mse_u:1.39 mse_v:1.05 psnr_avg:42.79 psnr_y:41.57 psnr_u:46.72 psnr_v:47.93 
n:130 mse_avg:3.78 mse_y:4.98 mse_u:1.56 mse_v:1.20 psnr_avg:42.36 psnr_y:41.16 psnr_u:46.20 psnr_v:47.35 
n:131 mse_avg:3.91 mse_y:5.20 mse_u:1.48 mse_v:1.15 psnr_avg:42.21 psnr_y:40.97 psnr_u:46.44 psnr_v:47.51 
n:132 mse_avg:4.23 mse_y:5.62 mse_u:1.62 mse_v:1.29 psnr_avg:41.87 psnr_y:40.64 psnr_u:46.03 psnr_v:47.01 
n:133 mse_avg:4.39 mse_y:5.87 mse_u:1.62 mse_v:1.28 psnr_avg:41.70 psnr_y:40.45 psnr_u:46.04 psnr_v:47.05 
n:134 mse_avg:4.52 mse_y:6.01 mse_u:1.73 mse_v:1.38 psnr_avg:41.58 psnr_y:40.35 psnr_u:45.75 psnr_v:46.73 
n:135 mse_avg:4.55 mse_y:6.07 mse_u:1.71 mse_v:1.30 psnr_avg:41.55 psnr_y:40.30 psnr_u:45.81 psnr_v:46.99 
n:136 mse_avg:1.30 mse_y:1.56 mse_u:0.83 mse_v:0.74 psnr_avg:46.99 psnr_y:46.20 psnr_u:48.92 psnr_v:49.46 
n:137 mse_avg:2.76 mse_y:3.55 mse_u:1.36 mse_v:1.01 psnr_avg:43.72 psnr_y:42.63 psnr_u:46.79 psnr_v:48.10 
n:138 mse_avg:2.46 mse_y:3.15 mse_u:1.21 mse_v:0.95 psnr_avg:44.23 psnr_y:43.15 psnr_u:47.32 psnr_v:48.36 
n:139 mse_avg:2.71 mse_y:3.47 mse_u:1.38 mse_v:1.01 psnr_avg:43.79 psnr_y:42.72 psnr_u:46.72 psnr_v:48.08 
n:140 mse_avg:2.96 mse_y:3.85 mse_u:1.32 mse_v:1.04 psnr_avg:43.42 psnr_y:42.28 psnr_u:46.92 psnr_v:47.96 
n:141 mse_avg:3.25 mse_y:4.25 mse_u:1.45 mse_v:1.04 psnr_avg:43.01 psnr_y:41.84 psnr_u:46.52 psnr_v:47.95 
n:142 mse_avg:3.54 mse_y:4.68 mse_u:1.47 mse_v:1.09 psnr_avg:42.64 psnr_y:41.43 psnr_u:46.47 psnr_v:47.76 
n:143 mse_avg:1.24 mse_y:1.47 mse_u:0.84 mse_v:0.71 psnr_avg:47.19 psnr_y:46.44 psnr_u:48.89 psnr_v:49.62 
n:144 mse_avg:2.48 mse_y:3.13 mse_u:1.37 mse_v:1.00 psnr_avg:44.18 psnr_y:43.17 psnr_u:46.76 psnr_v:48.12 
n:145 mse_avg:2.52 mse_y:3.22 mse_u:1.26 mse_v:0.94 psnr_avg:44.12 psnr_y:43.05 psnr_u:47.12 psnr_v:48.38 
n:146 mse_avg:2.84 mse_y:3.65 mse_u:1.39 mse_v:1.05 psnr_avg:43.60 psnr_y:42.51 psnr_u:46.70 psnr_v:47.92 
