n:53 mse_avg:3.12 mse_y:3.75 mse_u:2.16 mse_v:1.55 psnr_avg:43.19 psnr_y:42.39 psnr_u:44.78 psnr_v:46.21 
n:54 mse_avg:3.23 mse_y:3.92 mse_u:2.17 mse_v:1.56 psnr_avg:43.03 psnr_y:42.20 psnr_u:44.76 psnr_v:46.20 
n:55 mse_avg:2.77 mse_y:3.30 mse_u:1.93 mse_v:1.50 psnr_avg:43.71 psnr_y:42.95 psnr_u:45.27 psnr_v:46.38 
n:56 mse_avg:3.37 mse_y:4.09 mse_u:2.17 mse_v:1.68 psnr_avg:42.86 psnr_y:42.01 psnr_u:44.76 psnr_v:45.89 
n:57 mse_avg:3.70 mse_y:4.53 mse_u:2.29 mse_v:1.76 psnr_avg:42.45 psnr_y:41.57 psnr_u:44.53 psnr_v:45.68 
n:58 mse_avg:3.97 mse_y:4.87 mse_u:2.43 mse_v:1.89 psnr_avg:42.14 psnr_y:41.25 psnr_u:44.28 psnr_v:45.37 
n:59 mse_avg:4.03 mse_y:4.99 mse_u:2.43 mse_v:1.82 psnr_avg:42.07 psnr_y:41.15 psnr_u:44.27 psnr_v:45.52 
n:60 mse_avg:3.08 mse_y:3.71 mse_u:2.08 mse_v:1.57 psnr_avg:43.24 psnr_y:42.44 psnr_u:44.95 psnr_v:46.17 
n:61 mse_avg:1.38 mse_y:1.57 mse_u:1.12 mse_v:0.88 psnr_avg:46.73 psnr_y:46.18 psnr_u:47.63 psnr_v:48.67 
n:62 mse_avg:2.79 mse_y:3.45 mse_u:1.66 mse_v:1.31 psnr_avg:43.67 psnr_y:42.75 psnr_u:45.93 psnr_v:46.96 
n:63 mse_avg:3.13 mse_y:3.86 mse_u:1.88 mse_v:1.46 psnr_avg:43.17 psnr_y:42.26 psnr_u:45.39 psnr_v:46.48 
n:64 mse_avg:3.27 mse_y:4.07 mse_u:1.86 mse_v:1.47 psnr_avg:42.99 psnr_y:42.04 psnr_u:45.44 psnr_v:46.47 
n:65 mse_avg:2.81 mse_y:3.40 mse_u:1.87 mse_v:1.42 psnr_avg:43.64 psnr_y:42.82 psnr_u:45.41 psnr_v:46.61 
n:66 mse_avg:3.43 mse_y:4.22 mse_u:2.10 mse_v:1.61 psnr_avg:42.78 psnr_y:41.88 psnr_u:44.91 psnr_v:46.06 
n:67 mse_avg:3.49 mse_y:4.28 mse_u:2.19 mse_v:1.66 psnr_avg:42.70 psnr_y:41.82 psnr_u:44.72 psnr_v:45.92 
n:68 mse_avg:3.68 mse_y:4.49 mse_u:2.39 mse_v:1.75 psnr_avg:42.47 psnr_y:41.61 psnr_u:44.34 psnr_v:45.71 
n:69 mse_avg:3.75 mse_y:4.61 mse_u:2.35 mse_v:1.75 psnr_avg:42.39 psnr_y:41.50 psnr_u:44.42 psnr_v:45.69 
n:70 mse_avg:3.07 mse_y:3.72 mse_u:2.03 mse_v:1.54 psnr_avg:43.26 psnr_y:42.43 psnr_u:45.05 psnr_v:46.24 
n:71 mse_avg:3.86 mse_y:4.78 mse_u:2.33 mse_v:1.72 psnr_avg:42.27 psnr_y:41.34 psnr_u:44.45 psnr_v:45.79 
n:72 mse_avg:4.06 mse_y:5.05 mse_u:2.41 mse_v:1.77 psnr_avg:42.04 psnr_y:41.10 psnr_u:44.32 psnr_v:45.64 
n:73 mse_avg:4.43 mse_y:5.52 mse_u:2.62 mse_v:1.89 psnr_avg:41.66 psnr_y:40.71 psnr_u:43.94 psnr_v:45.37 
n:74 mse_avg:4.59 mse_y:5.75 mse_u:2.66 mse_v:1.88 psnr_avg:41.52 psnr_y:40.54 psnr_u:43.88 psnr_v:45.38 
n:75 mse_avg:3.75 mse_y:4.61 mse_u:2.34 mse_v:1.75 psnr_avg:42.39 psnr_y:41.50 psnr_u:44.44 psnr_v:45.71 
n:76 mse_avg:2.38 mse_y:2.81 mse_u:1.70 mse_v:1.34 psnr_avg:44.36 psnr_y:43.64 psnr_u:45.82 psnr_v:46.87 
n:77 mse_avg:3.87 mse_y:4.84 mse_u:2.17 mse_v:1.66 psnr_avg:42.26 psnr_y:41.28 psnr_u:44.76 psnr_v:45.92 
n:78 mse_avg:4.14 mse_y:5.17 mse_u:2.39 mse_v:1.78 psnr_avg:41.96 psnr_y:41.00 psnr_u:44.35 psnr_v:45.63 
n:79 mse_avg:4.34 mse_y:5.46 mse_u:2.40 mse_v:1.82 psnr_avg:41.75 psnr_y:40.76 psnr_u:44.33 psnr_v:45.52 
n:80 mse_avg:3.86 mse_y:4.75 mse_u:2.36 mse_v:1.78 psnr_avg:42.27 psnr_y:41.36 psnr_u:44.40 psnr_v:45.64 
n:81 mse_avg:4.74 mse_y:5.95 mse_u:2.69 mse_v:1.99 psnr_avg:41.37 psnr_y:40.39 psnr_u:43.84 psnr_v:45.13 
n:82 mse_avg:2.64 mse_y:3.11 mse_u:1.89 mse_v:1.47 psnr_avg:43.92 psnr_y:43.20 psnr_u:45.37 psnr_v:46.45 
n:83 mse_avg:3.87 mse_y:4.81 mse_u:2.24 mse_v:1.73 psnr_avg:42.26 psnr_y:41.31 psnr_u:44.63 psnr_v:45.75 
n:84 mse_avg:4.01 mse_y:5.00 mse_u:2.31 mse_v:1.75 psnr_avg:42.10 psnr_y:41.14 psnr_u:44.50 psnr_v:45.70 
n:85 mse_avg:3.76 mse_y:4.59 mse_u:2.36 mse_v:1.82 psnr_avg:42.38 psnr_y:41.51 psnr_u:44.40 psnr_v:45.54 
n:86 mse_avg:4.61 mse_y:5.72 mse_u:2.72 mse_v:2.02 psnr_avg:41.50 psnr_y:40.55 psnr_u:43.79 psnr_v:45.08 
n:87 mse_avg:5.11 mse_y:6.38 mse_u:2.94 mse_v:2.17 psnr_avg:41.05 psnr_y:40.08 psnr_u:43.44 psnr_v:44.78 
n:88 mse_avg:5.50 mse_y:6.86 mse_u:3.20 mse_v:2.35 psnr_avg:40.73 psnr_y:39.77 psnr_u:43.08 psnr_v:44.42 
n:89 mse_avg:5.76 mse_y:7.23 mse_u:3.20 mse_v:2.42 psnr_avg:40.53 psnr_y:39.54 psnr_u:43.08 psnr_v:44.29 
n:90 mse_avg:5.07 mse_y:6.24 mse_u:3.07 mse_v:2.40 psnr_avg:41.08 psnr_y:40.18 psnr_u:43.26 psnr_v:44.33 
n:91 mse_avg:2.71 mse_y:3.23 mse_u:1.81 mse_v:1.52 psnr_avg:43.80 psnr_y:43.04 psnr_u:45.55 psnr_v:46.33 
n:92 mse_avg:5.68 mse_y:7.55 mse_u:2.08 mse_v:1.82 psnr_avg:40.59 psnr_y:39.35 psnr_u:44.96 psnr_v:45.52 
n:93 mse_avg:6.22 mse_y:8.26 mse_u:2.26 mse_v:2.02 psnr_avg:40.19 psnr_y:38.96 psnr_u:44.60 psnr_v:45.07 
n:94 mse_avg:6.53 mse_y:8.72 mse_u:2.27 mse_v:2.05 psnr_avg:39.98 psnr_y:38.73 psnr_u:44.58 psnr_v:45.01 
n:95 mse_avg:5.92 mse_y:7.78 mse_u:2.31 mse_v:2.11 psnr_avg:40.41 psnr_y:39.22 psnr_u:44.49 psnr_v:44.90 
n:96 mse_avg:7.02 mse_y:9.38 mse_u:2.44 mse_v:2.15 psnr_avg:39.67 psnr_y:38.41 psnr_u:44.25 psnr_v:44.82 
n:97 mse_avg:7.33 mse_y:9.83 mse_u:2.45 mse_v:2.20 psnr_avg:39.48 psnr_y:38.21 psnr_u:44.24 psnr_v:44.70 
n:98 mse_avg:7.62 mse_y:10.20 mse_u:2.54 mse_v:2.36 psnr_avg:39.31 psnr_y:38.04 psnr_u:44.08 psnr_v:44.40 
n:99 mse_avg:7.80 mse_y:10.46 mse_u:2.56 mse_v:2.38 psnr_avg:39.21 psnr_y:37.94 psnr_u:44.06 psnr_v:44.36 
n:100 mse_avg:6.18 mse_y:8.10 mse_u:2.46 mse_v:2.22 psnr_avg:40.22 psnr_y:39.05 psnr_u:44.21 psnr_v:44.67 
