n:62 mse_avg:8.57 mse_y:11.84 mse_u:2.58 mse_v:1.46 psnr_avg:38.80 psnr_y:37.40 psnr_u:44.02 psnr_v:46.50 
n:63 mse_avg:9.26 mse_y:12.75 mse_u:2.84 mse_v:1.74 psnr_avg:38.46 psnr_y:37.08 psnr_u:43.60 psnr_v:45.74 
n:64 mse_avg:8.53 mse_y:11.58 mse_u:2.94 mse_v:1.95 psnr_avg:38.82 psnr_y:37.50 psnr_u:43.45 psnr_v:45.24 
n:65 mse_avg:9.31 mse_y:12.60 mse_u:3.24 mse_v:2.19 psnr_avg:38.44 psnr_y:37.13 psnr_u:43.02 psnr_v:44.72 
n:66 mse_avg:10.30 mse_y:14.00 mse_u:3.34 mse_v:2.47 psnr_avg:38.00 psnr_y:36.67 psnr_u:42.89 psnr_v:44.21 
n:67 mse_avg:10.74 mse_y:14.49 mse_u:3.66 mse_v:2.82 psnr_avg:37.82 psnr_y:36.52 psnr_u:42.49 psnr_v:43.63 
n:68 mse_avg:12.01 mse_y:16.28 mse_u:4.00 mse_v:2.96 psnr_avg:37.34 psnr_y:36.02 psnr_u:42.11 psnr_v:43.42 
n:69 mse_avg:12.51 mse_y:16.88 mse_u:4.33 mse_v:3.25 psnr_avg:37.16 psnr_y:35.86 psnr_u:41.76 psnr_v:43.01 
n:70 mse_avg:12.38 mse_y:16.66 mse_u:4.35 mse_v:3.29 psnr_avg:37.20 psnr_y:35.91 psnr_u:41.75 psnr_v:42.96 
n:71 mse_avg:12.25 mse_y:16.49 mse_u:4.36 mse_v:3.18 psnr_avg:37.25 psnr_y:35.96 psnr_u:41.74 psnr_v:43.11 
n:72 mse_avg:12.21 mse_y:16.45 mse_u:4.45 mse_v:2.99 psnr_avg:37.27 psnr_y:35.97 psnr_u:41.64 psnr_v:43.37 
n:73 mse_avg:12.41 mse_y:16.71 mse_u:4.57 mse_v:3.09 psnr_avg:37.19 psnr_y:35.90 psnr_u:41.53 psnr_v:43.24 
n:74 mse_avg:12.86 mse_y:17.34 mse_u:4.65 mse_v:3.13 psnr_avg:37.04 psnr_y:35.74 psnr_u:41.46 psnr_v:43.18 
n:75 mse_avg:12.74 mse_y:17.15 mse_u:4.63 mse_v:3.23 psnr_avg:37.08 psnr_y:35.79 psnr_u:41.47 psnr_v:43.04 
n:76 mse_avg:4.57 mse_y:5.85 mse_u:2.52 mse_v:1.51 psnr_avg:41.53 psnr_y:40.46 psnr_u:44.12 psnr_v:46.35 
n:77 mse_avg:10.76 mse_y:14.90 mse_u:2.96 mse_v:2.01 psnr_avg:37.81 psnr_y:36.40 psnr_u:43.41 psnr_v:45.10 
n:78 mse_avg:12.57 mse_y:17.33 mse_u:3.47 mse_v:2.62 psnr_avg:37.14 psnr_y:35.74 psnr_u:42.73 psnr_v:43.95 
n:79 mse_avg:14.68 mse_y:20.27 mse_u:3.93 mse_v:3.10 psnr_avg:36.46 psnr_y:35.06 psnr_u:42.19 psnr_v:43.22 
